Price,Volume,Side
86713.894660,0.028773,bid
86712.906640,0.000000,bid
86706.709060,0.115101,bid
86723.435540,0.172618,offer
86728.305780,0.090618,offer
86728.315760,0.172608,offer
86729.712960,0.172605,offer
86731.070240,0.496273,offer
86733.954460,0.575323,offer
86742.138060,0.114814,offer
86743.335660,0.000000,offer
86746.868580,1.150474,offer
86762.347560,0.356345,offer
86762.357540,0.000000,offer
86825.850300,0.397690,offer
86825.860280,0.000000,offer
86719.343740,0.000000,bid
86719.333760,0.000119,bid
86708.595280,0.010507,bid
86728.305780,0.194182,offer
86719.154120,0.758468,bid
86713.904640,0.017264,bid
86708.595280,0.000000,bid
86707.946580,0.010507,bid
86733.944480,0.007446,offer
86735.351660,0.000000,offer
86742.138060,0.000000,offer
86745.990340,1.608202,offer
86779.084020,0.287012,offer
86824.183640,0.346759,offer
86824.213580,0.625658,offer
86824.243520,0.000000,offer
86695.741040,0.943203,bid
86666.988660,0.763544,bid
86632.707360,0.746998,bid
86620.292240,0.000000,bid
86611.439980,0.000000,bid
86602.956980,0.526026,bid
86728.295800,0.001368,offer
86733.944480,0.000000,offer
86735.351660,0.079645,offer
86740.790760,0.148142,offer
86762.337580,0.356345,offer
86762.347560,0.000000,offer
86824.183640,0.972418,offer
86824.213580,0.000000,offer
86825.840320,0.397690,offer
86825.850300,0.000000,offer
86828.225540,0.000000,offer
86713.904640,0.000000,bid
86713.894660,0.000000,bid
86712.846760,0.028773,bid
86686.978600,0.000000,bid
86686.968620,0.000000,bid
86656.629420,0.000000,bid
83687.539500,0.014310,bid
75882.231400,0.000000,bid
86728.295800,0.000000,offer
86731.060260,0.005618,offer
86745.990340,1.043914,offer
86746.000320,0.000000,offer
86773.954300,0.723739,offer
86776.359480,0.000000,offer
86719.333760,0.000000,bid
86719.323780,0.000000,bid
86719.164100,0.000119,bid
86728.295800,0.003740,offer
86731.060260,0.000000,offer
86824.153700,0.625659,offer
86824.183640,0.346759,offer
86712.846760,0.000000,bid
86712.717020,0.028773,bid
86712.717020,0.000000,bid
86712.247960,0.139878,bid
86711.020420,0.000000,bid
86705.351780,0.000000,bid
86686.759040,0.893043,bid
86656.419840,1.565304,bid
86747.497320,0.898498,offer
86777.866460,1.618126,offer
86825.830340,0.397690,offer
86825.840320,0.000000,offer
86711.030400,0.028774,bid
86704.852780,0.115103,bid
86704.383720,0.717353,bid
86702.796900,0.575529,bid
86824.143720,0.625659,offer
86824.153700,0.000000,offer
86712.247960,0.208715,bid
86712.068320,0.028773,bid
86711.030400,0.000000,bid
86710.331800,0.115096,bid
86704.852780,0.000000,bid
86762.327600,0.356345,offer
86762.337580,0.000000,offer
86536.779600,0.000000,bid
86824.113780,0.639956,offer
86824.143720,0.000000,offer
86713.415620,0.017264,bid
86713.405640,0.028773,bid
86712.108240,0.115093,bid
86712.068320,0.000000,bid
86707.936600,0.418501,bid
86706.709060,0.000000,bid
86704.383720,0.425183,bid
86702.796900,0.000000,bid
86825.820360,0.397690,offer
86825.830340,0.000000,offer
87026.847500,0.000000,offer
86710.331800,0.000000,bid
86707.936600,0.604399,bid
86706.988500,0.115100,bid
82806.225660,0.019284,bid
86810.700660,0.662892,offer
86824.103800,0.639956,offer
86824.113780,0.000000,offer
86824.193620,0.000000,offer
86998.673960,8.274000,offer
86710.291880,0.268581,bid
86706.988500,0.000000,bid
86667.327980,0.143847,bid
86660.202260,1.508173,bid
86656.819040,0.000000,bid
86762.317620,0.356345,offer
86762.327600,0.000000,offer
86710.291880,0.153485,bid
86713.415620,0.000000,bid
86713.405640,0.000000,bid
86712.247960,0.208715,bid
86712.108240,0.000000,bid
86712.048360,0.028773,bid
86710.311840,0.115096,bid
85828.000000,3.529689,bid
86824.073860,0.639956,offer
86824.103800,0.000000,offer
86713.206040,0.017264,bid
86713.196060,0.028773,bid
86712.048360,0.000000,bid
86707.936600,0.857407,bid
86705.621240,0.575511,bid
86667.327980,0.000000,bid
86663.236180,0.143852,bid
86824.063880,0.639956,offer
86824.073860,0.000000,offer
86825.810380,0.397691,offer
86825.820360,0.000000,offer
86745.990340,1.593052,offer
86773.954300,1.554280,offer
86722.547320,0.235576,bid
86686.769020,0.678260,bid
86656.429820,0.986970,bid
86656.110460,0.000000,bid
86620.292240,0.029387,bid
86762.307640,0.356345,offer
86762.317620,0.000000,offer
86707.257960,0.115100,bid
86735.361640,1.101542,offer
86738.894560,1.150580,offer
86745.990340,1.043914,offer
86746.868580,0.000000,offer
86810.690680,0.473850,offer
86824.043920,0.639956,offer
